id	key	name_cn	kind	hp	damage	hit_speed_ms	load_time_ms	speed	range_mt	sight_mt	deploy_ms	radius_mt	mass	atk_air	atk_ground	only_buildings	only_towers	only_troops	projectile_key	death_spawn_key	death_spawn_n	death_damage	death_aoe_radius_mt	life_ms	spawn_key	spawn_n	spawn_radius_mt	spawn_interval_ms	spawn_limit	summon_key	summon_n	summon_radius_mt	summon_deploy_delay_ms	aoe_radius_mt	sprite_dir	flying
26020013	balloon	气球兵	0	1680	640	2000	1800	60	100	7700	1000	500	6	0	1	1	0	0		BalloonBomb	0	0	0	0		0	0	0	0	balloon	1	0	0	0	chr_balloon_out	1
26020014	witch	女巫	0	838	134	1100	400	60	5500	5500	1000	500	8	1	1	0	0	0	WitchProjectile		0	0	0	0	Skeleton	4	2000	7000	0	witch	1	0	0	0	chr_witch_out	0
26020015	barbarians	野蛮人	0	670	192	1300	900	60	700	5500	1000	500	4	0	1	0	0	0			0	0	0	0		0	0	0	0	Barbarian	5	700	100	0	chr_barbarian_out	0
26020016	Barbarian		0	670	192	1300	900	60	700	5500	1000	500	4	0	1	0	0	0			0	0	0	0		0	0	0	0		0	0	0	0	chr_barbarian_out	0
26020017	skeletons	骷髅兵	0	81	81	1000	500	90	500	5500	1000	500	1	0	1	0	0	0			0	0	0	0		0	0	0	0	Skeleton	3	700	0	0	chr_skeleton_out	0
26020018	Skeleton		0	81	81	1000	500	90	500	5500	1000	500	1	0	1	0	0	0			0	0	0	0		0	0	0	0		0	0	0	0	chr_skeleton_out	0
26020019	skeleton-army	骷髅军团	0	81	81	1000	500	90	500	5500	1000	500	1	0	1	0	0	0			0	0	0	0		0	0	0	0	Skeleton	15	0	0	0	chr_skeleton_out	0
26020020	valkyrie	瓦基丽武神	0	1908	267	1500	1400	60	1200	5500	1000	500	5	0	1	0	0	0			0	0	0	0		0	0	0	0	valkyrie	1	0	0	2000	chr_valkyrie_out	0
26020021	bomber	炸弹兵	0	332	222	1800	1600	60	4500	5500	1000	500	4	0	1	0	0	0	BombSkeletonProjectile		0	0	0	0		0	0	0	0	bomber	1	0	0	0	chr_bomber_out	0
26020022	musketeer	火枪手	0	720	218	1000	200	60	6000	6000	1000	500	5	1	1	0	0	0	MusketeerProjectile		0	0	0	0		0	800	0	0	musketeer	1	0	0	0	chr_musketeer_out	0
26020023	baby-dragon	飞龙宝宝	0	1152	160	1500	1200	90	3500	5500	1000	500	5	1	1	0	0	0	BabyDragonProjectile		0	0	0	0		0	0	0	0	baby-dragon	1	0	0	0	chr_baby_dragon_out	1
26020024	prince	王子	0	1920	392	1400	900	60	1600	5500	1000	600	6	0	1	0	0	0			0	0	0	0		0	0	0	0	prince	1	0	0	0	chr_prince_out	0
26020025	wizard	法师	0	720	281	1400	1000	60	5500	5500	1000	500	5	1	1	0	0	0	chr_wizardProjectile		0	0	0	0		0	0	0	0	wizard	1	0	0	0	chr_wizard_out	0
26020026	mini-pekka	迷你皮卡	0	1361	720	1600	1100	90	800	5500	1000	450	4	0	1	0	0	0			0	0	0	0		0	0	0	0	mini-pekka	1	0	0	0	chr_mini_pekka_out	0
26020027	giant-skeleton	骷髅巨人	0	3424	267	1400	1100	60	800	5000	1000	1000	18	0	1	0	0	0		GiantSkeletonBomb	1	0	0	0		0	0	0	0	giant-skeleton	1	0	0	0	chr_giant_skeleton_out	0
26020028	hog-rider	野猪骑士	0	1696	318	1600	1000	120	800	9500	1000	600	4	0	1	1	0	0			0	0	0	0		0	0	0	0	hog-rider	1	0	0	0	chr_hog_rider_out	0
26020029	ice-wizard	寒冰法师	0	688	90	1700	1200	60	5500	5500	1000	500	5	1	1	0	0	0	ice_wizardProjectile		0	0	0	0		0	0	0	0	ice-wizard	1	0	0	0	chr_ice_wizard_out	0
26020030	royal-giant	皇家巨人	0	3072	307	1700	800	45	5000	7500	1000	750	18	0	1	1	0	0	RoyalGiantProjectile		0	0	0	0		0	0	0	0	royal-giant	1	0	0	0	chr_royal_giant_out	0
26020031	princess	公主	0	261	169	3000	2500	60	9000	9500	1000	500	3	1	1	0	0	0	PrincessProjectile		0	0	0	0		0	0	0	0	princess	1	0	0	2500	chr_princess_out	0
26020032	dark-prince	黑暗王子	0	1200	248	1300	900	60	1200	5500	1000	600	6	0	1	0	0	0			0	0	0	0		0	0	0	0	dark-prince	1	0	0	1100	chr_prince_out	0
26020033	lava-hound	熔岩猎犬	0	3811	54	1300	300	45	3500	5500	1000	750	5	1	1	1	0	0	LavaHoundProjectile	LavaPups	6	0	0	0		0	0	0	0	lava-hound	1	0	0	0	chr_lava_hound_out;chr_lava_pups_out	1
26020034	ice-spirit	冰雪精灵	0	230	110	300	100	120	2500	5500	1000	400	1	1	1	0	0	0	IceSpiritsProjectile		0	0	0	0		0	650	0	0	ice-spirit	1	0	0	0	chr_ice_spirits_out	0
26020035	fire-spirit	烈焰精灵	0	230	207	300	100	120	2000	5500	1000	400	1	1	1	0	0	0	FireSpiritsProjectile		0	0	0	0		0	650	0	0	fire-spirit	1	0	100	0	chr_fire_firespirit_out	0
26020036	miner	掘地矿工	0	1210	193	1200	700	90	1200	5500	1000	500	6	0	1	0	0	0			0	0	0	0		0	0	0	0	miner	1	0	0	0	chr_miner_out	0
26020037	bowler	巨石投手	0	2080	288	2500	2000	45	4000	5500	1000	750	18	0	1	0	0	0	BowlerProjectile		0	0	0	0		0	0	0	0	bowler	1	0	0	0	chr_bowler_out	0
26020038	battle-ram	野蛮人攻城槌	0	966	286	400	50	60	500	5500	1000	750	6	0	1	1	0	0		Barbarian	2	0	0	0		0	0	0	0	battle-ram	1	0	0	0	chr_battle_ram_out	0
26020039	mega-minion	重甲亡灵	0	837	311	1500	1100	60	1600	5500	1000	600	6	1	1	0	0	0	MegaMinionSpit		0	0	0	0		0	0	0	0	mega-minion	1	0	0	0	chr_mega_minion_out	1
26020040	dart-goblin	吹箭哥布林	0	260	131	700	350	120	6500	7500	1000	500	3	1	1	0	0	0	BlowdartGoblinProjectile		0	0	0	0		0	0	0	0	dart-goblin	1	0	0	0	chr_goblin_blowdart_out	0
26020041	electro-wizard	闪电法师	0	713	110	1800	1200	90	5000	5500	1000	500	5	1	1	0	0	0			0	0	0	0		0	0	0	0	electro-wizard	1	0	0	0	chr_electro_wizard_out	0
26020042	executioner	飞斧屠夫	0	1280	169	900	400	60	4500	5500	1000	600	4	1	1	0	0	0	AxeManProjectile		0	0	0	0		0	0	0	0	executioner	1	0	0	0	chr_axe_man_out	0
26020043	bandit	幻影刺客	0	907	193	1000	600	90	750	6000	1000	600	3	0	1	0	0	0			0	0	0	0		0	0	0	0	bandit	1	0	0	0	chr_bandit_out	0
26020044	bats	蝙蝠	0	81	81	1300	700	120	1200	5500	1000	500	1	1	1	0	0	0			0	0	0	0		0	0	0	0	Bat	5	750	100	0	chr_bats_out	1
26020045	Bat		0	81	81	1300	700	120	1200	5500	1000	500	1	1	1	0	0	0			0	0	0	0		0	0	0	0		0	0	0	0		1
26020046	mega-knight	超级骑士	0	3993	268	1700	1200	60	1200	5500	1000	750	18	0	1	0	0	0			0	0	0	0		1	0	1	1	mega-knight	1	0	0	1300	chr_mega_knight_out	0
26020047	cannon-cart	加农炮战车	0	892	212	1000	400	60	5500	6000	1000	600	3	0	1	0	0	0	MovingCannonProjectile	BrokenCannon	1	0	0	0		0	0	0	0	cannon-cart	1	0	0	0	chr_movingcannon_out	0
26020048	cannon	加农炮	1	824	212	900	0	0	5500	5500	1000	600	0	0	1	0	0	0	TowerCannonball		0	0	0	30000		0	0	0	0		0	0	0	0	building_basic_cannon_out	0
26020049	goblin-hut	哥布林小屋	1	848	0	10000	0	0	0	0	1000	1000	0	0	1	0	0	0		SpearGoblin	1	0	0	29000	SpearGoblin	3	0	500	0		0	0	0	0	building_goblin_hut_out	0
26020050	mortar	迫击炮	1	1369	266	5000	4000	0	11500	11500	3500	600	0	0	1	0	0	0	MortarProjectile		0	0	0	30000		0	0	0	0		0	0	0	0	building_mortar_out	0
26020051	inferno-tower	地狱之塔	1	1749	42	400	1200	0	6000	6000	1000	600	0	1	1	0	0	0			0	0	0	30000		0	0	0	0		0	0	0	0	building_inferno_tower_out	0
26020052	bomb-tower	炸弹塔	1	1356	222	1600	1100	0	6000	6000	1000	600	0	0	1	0	0	0	BombTowerProjectile	BombTowerBomb	1	0	0	30000		0	0	0	0		0	0	0	0	building_bomb_tower_out	0
26020053	barbarian-hut	野蛮人小屋	1	1166	0	10000	0	0	0	0	1000	1000	0	0	1	0	0	0		Barbarian	1	0	0	30000	Barbarian	3	0	500	0		0	0	0	0	building_barbarian_hut_out	0
26020054	tesla	特斯拉电磁塔	1	1152	230	1100	700	0	5500	5500	1000	500	0	1	1	0	0	0			0	0	0	30000		0	0	0	0		0	0	0	0	building_tesla_out	0
26020055	elixir-collector	圣水收集器	1	1070	0	0	0	0	0	0	1000	1000	0	0	0	0	0	0			0	0	0	65000		0	0	0	0		0	0	0	0	building_elixir_collector_out	0
26020056	x-bow	十字连弩	1	1600	41	300	0	0	11500	11500	3500	600	0	0	1	0	0	0	xbow_projectile		0	0	0	30000		0	0	0	0		0	0	0	0	building_xbow_out	0
26020057	tombstone	骷髅墓碑	1	530	0	10000	0	0	0	0	1000	1000	0	0	1	0	0	0		Skeleton	4	0	0	30000	Skeleton	2	0	500	0		0	0	0	0	building_tombstone_out	0
26020058	PrincessTower	公主塔	2	3584	128	800	0	0	7500	7500	0	1000	0	1	1	0	0	0	TowerPrincessProjectile		0	0	0	0		0	0	0	0		0	0	0	0	building_tower_out	0
26020059	KingTower	国王塔	2	6144	128	1000	500	0	7000	7000	0	1400	0	1	1	0	0	0	KingProjectile		0	0	0	0		0	0	0	0		0	0	0	0	building_tower_out	0
26020060	ArcherArrow		3	0	107	0	0	600	0	0	0	0	0	0	0	0	0	0			0	0	0	0		0	0	0	0		0	0	0	0		0
26020061	SpearGoblinProjectile		3	0	81	0	0	500	0	0	0	0	0	0	0	0	0	0			0	0	0	0		0	0	0	0		0	0	0	0		0
26020062	MinionSpit		3	0	117	0	0	1000	0	0	0	0	0	0	0	0	0	0			0	0	0	0		0	0	0	0		0	0	0	0		0
26020063	BalloonBomb		1	0	0	0	0	0	0	0	3000	450	0	1	1	0	0	0			0	150	3000	0		0	0	0	0		0	0	0	0		0
26020064	WitchProjectile		3	0	134	0	0	600	0	0	0	1000	0	0	0	0	0	0			0	0	0	0		0	0	0	0		0	0	0	0		0
26020065	BombSkeletonProjectile		3	0	222	0	0	400	0	0	0	1500	0	0	0	0	0	0			0	0	0	0		0	0	0	0		0	0	0	0		0
26020066	MusketeerProjectile		3	0	218	0	0	1000	0	0	0	0	0	0	0	0	0	0			0	0	0	0		0	0	0	0		0	0	0	0		0
26020067	BabyDragonProjectile		3	0	160	0	0	500	0	0	0	1200	0	0	0	0	0	0			0	0	0	0		0	0	0	0		0	0	0	0		0
26020068	chr_wizardProjectile		3	0	281	0	0	600	0	0	0	1500	0	0	0	0	0	0			0	0	0	0		0	0	0	0		0	0	0	0		0
26020069	GiantSkeletonBomb		1	0	0	0	0	0	0	0	3000	450	0	1	1	0	0	0			0	334	3000	0		0	0	0	0		0	0	0	0		0
26020070	ice_wizardProjectile		3	0	90	0	0	700	0	0	0	1000	0	0	0	0	0	0			0	0	0	0		0	0	0	0		0	0	0	0		0
26020071	RoyalGiantProjectile		3	0	307	0	0	1000	0	0	0	0	0	0	0	0	0	0			0	0	0	0		0	0	0	0		0	0	0	0		0
26020072	PrincessProjectile		3	0	169	0	0	600	0	0	0	2000	0	0	0	0	0	0			0	0	0	0		0	0	0	0		0	0	0	0		0
26020073	LavaHoundProjectile		3	0	54	0	0	400	0	0	0	0	0	0	0	0	0	0			0	0	0	0		0	0	0	0		0	0	0	0		0
26020074	LavaPups		0	216	90	1700	700	60	1600	5500	1000	450	5	1	1	0	0	0	LavaPupProjectile		0	0	0	0		0	0	0	0		0	0	0	0	chr_lava_pups_out	1
26020075	IceSpiritsProjectile		3	0	110	0	0	400	0	0	0	1500	0	0	0	0	0	0			0	0	0	0		0	0	0	0		0	0	0	0		0
26020076	FireSpiritsProjectile		3	0	207	0	0	400	0	0	0	2300	0	0	0	0	0	0			0	0	0	0		0	0	0	0		0	0	0	0		0
26020077	BowlerProjectile		3	0	288	0	0	170	0	0	0	1800	0	0	0	0	0	0			0	0	0	0		0	0	0	0		0	0	0	0		0
26020078	MegaMinionSpit		3	0	311	0	0	1000	0	0	0	0	0	0	0	0	0	0			0	0	0	0		0	0	0	0		0	0	0	0		0
26020079	BlowdartGoblinProjectile		3	0	131	0	0	800	0	0	0	0	0	0	0	0	0	0			0	0	0	0		0	0	0	0		0	0	0	0		0
26020080	AxeManProjectile		3	0	169	0	0	550	0	0	0	1000	0	0	0	0	0	0			0	0	0	0		0	0	0	0		0	0	0	0		0
26020081	MovingCannonProjectile		3	0	212	0	0	1000	0	0	0	0	0	0	0	0	0	0			0	0	0	0		0	0	0	0		0	0	0	0		0
26020082	BrokenCannon		1	820	212	900	400	0	5500	5500	1000	600	3	0	1	0	0	0	MovingCannonProjectile		0	0	0	30000		0	0	0	0		0	0	0	0		0
26020083	TowerCannonball		3	0	212	0	0	1000	0	0	0	0	0	0	0	0	0	0			0	0	0	0		0	0	0	0		0	0	0	0		0
26020084	MortarProjectile		3	0	266	0	0	300	0	0	0	2000	0	0	0	0	0	0			0	0	0	0		0	0	0	0		0	0	0	0		0
26020085	BombTowerProjectile		3	0	222	0	0	500	0	0	0	1500	0	0	0	0	0	0			0	0	0	0		0	0	0	0		0	0	0	0		0
26020086	BombTowerBomb		1	0	0	0	0	0	0	0	3000	450	0	1	1	0	0	0			0	105	3000	0		0	0	0	0		0	0	0	0		0
26020087	xbow_projectile		3	0	41	0	0	1400	0	0	0	0	0	0	0	0	0	0			0	0	0	0		0	0	0	0		0	0	0	0		0
26020088	TowerPrincessProjectile		3	0	128	0	0	600	0	0	0	0	0	0	0	0	0	0			0	0	0	0		0	0	0	0		0	0	0	0		0
26020089	KingProjectile		3	0	128	0	0	1000	0	0	0	0	0	0	0	0	0	0			0	0	0	0		0	0	0	0		0	0	0	0		0
26020090	LavaPupProjectile		3	0	90	0	0	500	0	0	0	0	0	0	0	0	0	0			0	0	0	0		0	0	0	0		0	0	0	0		0
