id	key	name_cn	name_en	type	rarity	elixir	arena	icon	sprite_dir	deploy_fx
26010027	lava-hound	熔岩猎犬	Lava Hound	0	3	7	13	card_lava-hound	chr_lava_hound_out;chr_lava_pups_out	
26010028	ice-spirit	冰雪精灵	Ice Spirit	0	0	1	8	card_ice-spirit	chr_ice_spirits_out	
26010029	fire-spirit	烈焰精灵	Fire Spirit	0	0	1	4	card_fire-spirit	chr_fire_firespirit_out	
26010030	miner	掘地矿工	Miner	0	3	3	11	card_miner	chr_miner_out	
26010031	bowler	巨石投手	Bowler	0	2	5	13	card_bowler	chr_bowler_out	
26010032	battle-ram	野蛮人攻城槌	Battle Ram	0	1	4	3	card_battle-ram	chr_battle_ram_out	
26010033	mega-minion	重甲亡灵	Mega Minion	0	1	3	3	card_mega-minion	chr_mega_minion_out	
26010034	dart-goblin	吹箭哥布林	Dart Goblin	0	1	3	9	card_dart-goblin	chr_goblin_blowdart_out	
26010035	electro-wizard	闪电法师	Electro Wizard	0	3	4	11	card_electro-wizard	chr_electro_wizard_out	
26010036	executioner	飞斧屠夫	Executioner	0	2	5	14	card_executioner	chr_axe_man_out	
26010037	bandit	幻影刺客	Bandit	0	3	3	13	card_bandit	chr_bandit_out	
26010038	bats	蝙蝠	Bats	0	0	2	5	card_bats	chr_bats_out	
26010039	mega-knight	超级骑士	Mega Knight	0	3	7	11	card_mega-knight	chr_mega_knight_out	
26010040	cannon-cart	加农炮战车	Cannon Cart	0	2	5	15	card_cannon-cart	chr_movingcannon_out	
26010041	cannon	加农炮	Cannon	2	0	3	3	card_cannon	building_basic_cannon_out	
26010042	goblin-hut	哥布林小屋	Goblin Hut	2	1	5	1	card_goblin-hut	building_goblin_hut_out	
26010043	mortar	迫击炮	Mortar	2	0	4	5	card_mortar	building_mortar_out	
26010044	inferno-tower	地狱之塔	Inferno Tower	2	1	5	4	card_inferno-tower	building_inferno_tower_out	
26010045	bomb-tower	炸弹塔	Bomb Tower	2	1	4	4	card_bomb-tower	building_bomb_tower_out	
26010046	barbarian-hut	野蛮人小屋	Barbarian Hut	2	1	6	9	card_barbarian-hut	building_barbarian_hut_out	
26010047	tesla	特斯拉电磁塔	Tesla	2	0	4	10	card_tesla	building_tesla_out	
26010048	elixir-collector	圣水收集器	Elixir Collector	2	1	6	15	card_elixir-collector	building_elixir_collector_out	
26010049	x-bow	十字连弩	X-Bow	2	2	6	10	card_x-bow	building_xbow_out	
26010050	tombstone	骷髅墓碑	Tombstone	2	1	3	2	card_tombstone	building_tombstone_out	
26010051	fireball	火球	Fireball	1	1	4	0	card_fireball	ui_spells_out	
26010052	arrows	万箭齐发	Arrows	1	0	3	0	card_arrows	ui_spells_out	
26010053	rage	狂暴法术	Rage	1	2	2	14	card_rage	ui_spells_out	
26010054	rocket	火箭	Rocket	1	1	6	5	card_rocket	ui_spells_out	
26010055	goblin-barrel	哥布林飞桶	Goblin Barrel	1	2	3	6	card_goblin-barrel	ui_spells_out;spell_goblin_barrel_out	
26010056	freeze	冰冻法术	Freeze	1	2	4	8	card_freeze	ui_spells_out	
26010057	lightning	雷电法术	Lightning	1	2	6	8	card_lightning	ui_spells_out	
26010058	zap	电击法术	Zap	1	0	2	5	card_zap	ui_spells_out	
26010059	poison	伤害药水法术	Poison	1	2	4	9	card_poison	ui_spells_out	
26010060	the-log	滚木	The Log	1	3	2	11	card_the-log	ui_spells_out	
