维度	实体	状态/事件	边界值	期望表现(出处)	实测	结论	证据
D11	滚轮-列表滚动	房间列表/卡池	滚轮	列表滚动	房间列表与卡池均为**分页**实现（每页 5 行 / 8 张 + 上一页/下一页）；全工程 `Assets/**.cs` 的 `ScrollRect` 命中数 = 0（唯一一处是 RoomListPanel.cs:18-22 的注释"引擎里没有滚动列表工厂 ⇒ 取分页"）；滚轮滚动无对应控件 ⇒ 按任务书"可滚动或分页"口径成立	一致（滚轮不适用，分页已实现）	grep ScrollRect count=0；RoomListPanel.cs:18-22/55-56；DeckEditPanel.cs:326-345；AL3-evidence step11 PoolLabel='卡池：共 60 张 · 第 8/8 页（每页 8 张）'；step30 PageLabel='第 1/1 页'
D11	菜单内屏蔽(点HUD下层)	菜单/弹窗	点弹窗空白	不穿透点到下层HUD	Popup 层遮罩挡 uGUI 点击；轮询另有显式挡	一致(脚本)	HudPanel.cs:701-714
D11	触屏/多点	全上下文	—	本项目鼠标为主	本项目目标平台为 PC 鼠标（原版为移动端触屏）；本片无采集动作（任务书要求如实登记即可）	允许的差异（D92）	差异登记 D92；验收表 §3 D92；任务书 §③/#2
D11	输入框聚焦时快捷键误触	输入框聚焦	输入框内打字	快捷键不误触	无全局快捷键 ⇒ 无误触面	一致(脚本)	step3 无 Input.GetKey
D11	输入框输入-房间	房间/房间列表	输入房名/搜索	受 characterLimit	RoomListPanel 的 `RoomNameInput` 读出 `characterLimit=32`；程序化注入 40 字符后 `readLen=32`（被夹到上限）⇒ 文本不溢出输入框（截图见 AL3-long-Room.png）	一致	AL3-evidence step13: RoomNameInput.characterLimit=32 action=injected40 readLen=32；.ai-tmp/screenshots/AL3-shots/AL3-long-Room.png
D11	输入框输入-昵称	创角面板	输入昵称	受 characterLimit 限制	characterLimit 命中	一致(脚本)	NicknamePanel.cs
D11	输入框输入-登录	登录面板	输入账号/密码	字符入框不触发按钮	InputField 标准;characterLimit	一致(脚本)	LoginPanel.cs；CrUiStyle.Field:527-547
D11	连点防重入-回主菜单	暂停/结算	重复回主菜单	幂等忽略	_returningToMainMenu 幂等	一致(脚本)	AppFlow.cs:224-228
D11	连点防重入-登录	登录	快速连点登录	只执行一次	_busy 防重入 Warn 忽略	一致(脚本)	AppFlow.cs:543-547
D11	连点防重入-进图	房间→对局	重复 PushBattleStart	按 roomId 幂等只进一次	_enteringBattle/_enteringRoomId 幂等	一致(脚本)	AppFlow.cs:177-189
D12	Battle→Battle(重连)	已在Battle01	—	只切站点不重载场景	CurrentScene==Battle01→GoTo(Battle)	一致(脚本)	AppFlow.cs:200-207
D12	Battle→Pause	点暂停	—	切 Pause 站点(不真暂停)	StationEnterRequest(Pause)→EnterPause	一致(脚本)	AppFlow.cs:528-533
D12	Battle→Result	对局结束	胜负	开结算面板	本片 Play 开始那一刻屏幕上就是一个**自然打完**的人机对局结算（站内 Timer='00:00'、Phase='对局已结束'、ResultPanel 已开、`Outcome='失 败'`、`Crowns='我方冠 0 : 对方冠 2'`、`Reason='结算原因：加时结束，比冠数'`、`Detail='我方塔血 46% : 对方塔血 87% · 人机对局 · 房间 r1790001678804-2'`）⇒ 服务端 PushBattleEnd → 结算面板链路成立。⚠️ 该结算非本片驱动产生（是本会话此前 180s 自然结束留下的状态，本片 step2 点登录后被 AppFlow 切站点关掉；未能在其存活期间截图）——如实登记	一致（链路成立；该局非本片驱动）	AL3-evidence step3 DUMP: open.Result=True open.Hud=True [Outcome]='失 败' [Crowns]='我方冠 0 : 对方冠 2' [Reason]='结算原因：加时结束，比冠数' [Detail]='我方塔血 46% : 对方塔血 87%    ·    人机对局    ·    房间 r1790001678804-2' [Phase]='对局已结束' [Timer]='00:00'
D12	Boot→Login(开发态)	当前活动场景已是Main	—	跳过场景加载直接进 Login	activeScene==Main → GoTo(Login)	一致(脚本)	AppFlow.cs:464-471
D12	Boot→Login(经Main场景)	启动画面停留结束	BootSplashSeconds	切 Main 场景→进 Login 站点	Timer.After→LoadMainSceneFromBoot→Scene.Load(Main)→GoTo(Login)	一致(脚本)	AppFlow.cs:419-489
D12	Boot→Login(非预期)	Game.Scene为空	—	打Error并直接进Login不挂死	LogError+GoTo(Login)	一致(脚本)	AppFlow.cs:449-457
D12	Boot计时器竞争	停留回调晚到	站点已变	不再切场景	Fsm.Current!=Boot 时 return	一致(脚本)	AppFlow.cs:421-427
D12	D11×上下文 拖放仅在 Battle	各站点	—	仅 Battle 上下文可拖放出牌	PollDrag 仅 HudPanel(Battle)	一致(脚本)	HudPanel.cs:696-714
D12	D4×D12 暂停时 HUD	暂停	—	HUD 保留+弹窗压遮罩	EnterPause 不关下层 HUD；PausePanel 为 Popup 层	一致(脚本)	AppFlow.cs:528-533
D12	D4×D12 结算时 HUD	结算	—	结算覆盖/清 HUD	结算态实测 `open.Result=True` 且 `open.Hud=True`（HUD 面板**未清**），HUD 的文本节点（[Crowns]/[Timer]/[ElixirText]/[HandText0..3]）全部 activeInHierarchy ⇒ 结算页以全屏暗底 Dim(alpha 0.62) 压住 HUD，而非卸载 HUD（ResultPanel.cs:169-171 的设计注释）	一致（覆盖成立；HUD 未清属设计）	AL3-evidence step3 DUMP: open.Result=True open.Hud=True 且 TEXT 行同时列出 [Crowns]='0 : 2' [Timer]='00:00' [ElixirText] … 与 [Outcome]='失 败'；ResultPanel.cs:54-55 DimColor / 169-171
D12	D7×D12 音乐随场景转移	进图/回菜单	—	进图停 BGM 回菜单起 BGM	实测：Login/MainMenu 站 D7.bgmCurrent=Menu/music_lobby_202606；进图后=Battle/2min_loop_battle_01（菜单曲被换掉）；AF1 三站日志同源	一致	step0/step4 D7.bgmCurrent 读数（Menu→Battle）；AF1 报告三站日志
D12	Login→MainMenu	登录成功已有昵称	—	进主菜单站点	GoTo(MainMenu)	一致(脚本)	AppFlow.cs:606
D12	Login→Nickname	登录成功且昵称为空	空昵称	进创角站点	GoTo(Nickname)	一致(脚本)	AppFlow.cs:606
D12	Login→注册	点注册	—	仍留 Login 站点, 开注册面板	OnOpenRegister:CloseAll+Open<RegisterPanel>	一致(脚本)	AppFlow.cs:374-378
D12	MainMenu→Battle	点人机对战	—	建房→PushBattleStart→读条进图	StartAiBattleAsync→PushBattleStart→RequestEnterBattle	一致(脚本)	AppFlow.cs:779-828
D12	MainMenu→Room	点房间列表	—	广播 Room.OpenListRequest(Module/Room 开面板)	RequestOpenRoomList→Emit	一致(脚本)	AppFlow.cs:145-149/512-518
D12	MainMenu→卡组编辑	点卡组	—	广播 Deck.OpenRequest	RequestOpenDeckEdit→Emit；实测（AM1b，2026-09-22）：**同域第 2 次 Play**（= 用户报障条件）仍可打开 ⇒ `listeners[Deck.OpenRequest]=1` / `deckOpen=True` / `DeckBox scr=(40,235)-(1040,1753) size=1000x1518 active=True`（15:23:47）；日志 `[Deck] 检测到新的事件总线…重新装载订阅`；根因 = `DeckManager.cs:62/:89` 裸 bool 判订阅幂等 ⇒ D109（已消除）	一致(脚本)	AppFlow.cs:135-139
D12	Nickname→MainMenu	创角成功	—	进主菜单	SetNickname ok→GoTo(MainMenu)	一致(脚本)	AppFlow.cs:682-692
D12	Pause→Battle(继续)	点继续	—	回 Battle 站点	实测：点 HUD PauseButton → station=Battle→Pause，PausePanel open=True；点 ContinueButton → station=Pause→Battle，hudOpen=True	一致	panelStep0；panelStep1（station=Pause→Battle hudOpen=True）；AI2-14-pause.png
D12	Pause→MainMenu(投降/退出)	点投降/退出	—	读条回主菜单	RequestReturnToMainMenu→EnterSceneAsync(Main)	一致(脚本)	AppFlow.cs:222-242
D12	Result→MainMenu	点回主菜单	—	回主菜单站点	RequestReturnToMainMenu	一致(脚本)	AppFlow.cs:222-242
D12	Room→Battle	真人开打	—	读条进图切 Battle 站点	RequestEnterBattle(roomId,start)→EnterSceneAsync(Battle01)	一致(脚本)	AppFlow.cs:168-216
D12	任意→Login(被踢)	会话失效	—	回登录站点并提示	OnKicked→GoTo(Login)	一致(脚本)	AppFlow.cs:715-723
D12	启动→Boot	启动	—	进 Boot 站点并开启动画面	Start():RegisterStations+Subscribe+GoTo(Boot)	一致(脚本)	AppFlow.cs:246-256
D12	回主菜单后表现层残留	回主菜单	—	无残留单位/HUD/幽灵卡	复采实测：加 BattleViewRoot._inBattle 门后，第 2 次"进图→回菜单"（aj2Step8）残留全 0：unitViews=0 fxViews=0 battleContent=NONE battleAudio=NONE scene=Main roots=Bootstrap,Main Camera；对比 AI2 修前第 1 次 unitViews=1 fxViews=1 battleAudioNode=FOUND	一致	AJ2: aj2Step8 RESIDUAL#2 unitViews=0 fxViews=0 battleContent=NONE battleAudio=NONE scene=Main roots=Bootstrap,Main Camera,；对比 AI2 panelStep3（unitViews=1 fxViews=1 battleAudioNode=FOUND）；BattleViewRoot.cs:116,361,508-519,536-547
D12	回主菜单幂等	重复回主菜单	—	忽略重复请求	_returningToMainMenu 幂等	一致(脚本)	AppFlow.cs:224-228
D12	暂停态服务端tick是否继续	暂停	—	设计"不真暂停"⇒服务端tick继续	实测：暂停面板打开期间客户端快照计数继续增长（step8 snapshots=178 → step9 192 → step10 206，即暂停态仍在收快照）；面板文案亦声明"服务端仍在推进（计时/圣水/兵线/塔血）"；实图暂停面板背景 HUD 仍在计时	一致	panelStep输出 snapshots 178→192→206；AI2-14-pause.png（⚠️ 无服务端 tick 日志）
D12	注册→返回登录	点返回	—	回 Login 站点(返回路径存在)	BackToLoginRequest→GoTo(Login)	一致(脚本)	AppFlow.cs:297
D12	登录失败→Login站点	登录/注册失败	超时/4xx/拒登	留 Login 站点并带入失败原因	Fail→_pendingLoginError→EnterLogin 带入面板	一致(脚本)	AppFlow.cs:700-707/492-498
D12	连做两次回主菜单→再进图 计数一致	回主菜单→再进图×2	2次	计数一致(验收表T段)	实测：回主菜单后再点人机对战，beforeReenter snapshots=461 units=7 → afterReenter（新一局）station=Battle scene=Battle01 snapshots=102 units=1 hudOpen=True ⇒ 新局计数重新开始、无跨局累积	一致	panelStep15 beforeReenter snapshots=461 units=7；panelStep16 afterReenter snapshots=102 units=1
D12	退出	点退出	—	编辑器停Play/打包退出	Quit:EditorApplication.isPlaying=false / Application.Quit	一致(脚本)	AppFlow.cs:871-880
D1资源	ArenaRoot	资源根存在	exists	ResPaths 资源根必须在盘上	Test-Path True: Assets/Resources/Sprites/Arenas/arena_training_out	一致	coverage-enumerate.py
D1资源	BarWhite	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Bars/ui_battle_end_out/frame_222.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	BootBackground	资源根存在	exists	ResPaths 资源根必须在盘上	Test-Path True: Assets/Resources/Sprites/Ui/loading_bg	一致	coverage-enumerate.py
D1资源	BuildingsRoot	资源根存在	exists	ResPaths 资源根必须在盘上	Test-Path True: Assets/Resources/Sprites/Buildings	一致	coverage-enumerate.py
D1资源	ButtonBlueCorner	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Buttons/ui_out/frame_165.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	ButtonBlueCornerAlt	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Buttons/ui_out/frame_166.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	ButtonCapsule	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Buttons/ui_out/frame_002.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	ButtonDarkGrey	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Buttons/ui_out/frame_014.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	ButtonDarkGreyAlt	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Buttons/ui_out/frame_015.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	ButtonGold	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Buttons/ui_out/frame_300.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	ButtonGreenCorner	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Buttons/ui_out/frame_005.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	ButtonGreenCornerTl	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Buttons/ui_out/frame_004.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	ButtonOrange	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Buttons/ui_out/frame_357.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	ButtonOrangeAlt	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Buttons/ui_out/frame_359.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	ButtonOrangeWide	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Buttons/ui_out/frame_551.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	ButtonWhite	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Buttons/ui_out/frame_476.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	CardFrameGlowLegendary	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Panels/ui_out/frame_532.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	CardsRoot	资源根存在	exists	ResPaths 资源根必须在盘上	Test-Path True: Assets/Resources/Sprites/Cards	一致	coverage-enumerate.py
D1资源	ChatBubble	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Slots/ui_out/frame_054.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	ElixirBarFill	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Bars/ui_out/frame_157.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	ElixirBarFrame	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Bars/ui_out/frame_158.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	ElixirBarTick	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Bars/ui_out/frame_160.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	ElixirBarTrack	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Bars/ui_out/frame_155.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	ElixirBarTrackAlt	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Bars/ui_out/frame_156.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	ElixirRequirementEnd	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Bars/ui_out/frame_162.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	ElixirRequirementTrack	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Bars/ui_out/frame_161.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	GoldSquarePlate	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Bars/ui_battle_end_out/frame_201.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	HudClockIcon	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_out/frame_042.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	HudHandSlot	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Slots/ui_out/frame_200.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	HudHandSlotDraft	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Slots/ui_out/frame_201.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	HudPauseButtonPlate	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Buttons/ui_out/frame_163.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	HudPauseIconPause	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_out/frame_171.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	HudPauseIconPlay	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_out/frame_170.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	HudScoreNamePlate	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Panels/ui_out/frame_196.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	HudStarEnemy	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_out/frame_188.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	HudStarEnemyAlt	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_out/frame_198.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	HudStarPlayer	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_out/frame_187.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	HudStarPlayerAlt	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_out/frame_197.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	HudTopRightPlate	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Panels/ui_out/frame_193.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	IconArrowUp	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_out/frame_519.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	IconAttackGear	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_out/frame_280.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	IconBanner	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_battle_end_out/frame_226.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
