维度	实体	载体/路径	出处	状态数	判据类型	归属片
D12	Boot计时器竞争	AppFlow.cs:421-427	状态矩阵.tsv D12	1	状态机断言	AG1-D12
D12	D11×上下文 拖放仅在 Battle	HudPanel.cs:696-714	状态矩阵.tsv D12	1	状态机断言	AG1-D12
D12	D4×D12 暂停时 HUD	AppFlow.cs:528-533	状态矩阵.tsv D12	1	状态机断言	AG1-D12
D12	D4×D12 结算时 HUD	缺：结算态并排图	状态矩阵.tsv D12	1	状态机断言	AG1-D12
D12	D7×D12 音乐随场景转移	缺：BGM 随站点日志(BgmView.cs)	状态矩阵.tsv D12	1	状态机断言	AG1-D12
D12	Login→MainMenu	AppFlow.cs:606	状态矩阵.tsv D12	1	状态机断言	AG1-D12
D12	Login→Nickname	AppFlow.cs:606	状态矩阵.tsv D12	1	状态机断言	AG1-D12
D12	Login→注册	AppFlow.cs:374-378	状态矩阵.tsv D12	1	状态机断言	AG1-D12
D12	MainMenu→Battle	AppFlow.cs:779-828	状态矩阵.tsv D12	1	状态机断言	AG1-D12
D12	MainMenu→Room	AppFlow.cs:145-149/512-518	状态矩阵.tsv D12	1	状态机断言	AG1-D12
D12	MainMenu→卡组编辑	AppFlow.cs:135-139	状态矩阵.tsv D12	1	状态机断言	AG1-D12
D12	Nickname→MainMenu	AppFlow.cs:682-692	状态矩阵.tsv D12	1	状态机断言	AG1-D12
D12	Pause→Battle(继续)	缺：Module/Battle 返回路径确认	状态矩阵.tsv D12	1	状态机断言	AG1-D12
D12	Pause→MainMenu(投降/退出)	AppFlow.cs:222-242	状态矩阵.tsv D12	1	状态机断言	AG1-D12
D12	Result→MainMenu	AppFlow.cs:222-242	状态矩阵.tsv D12	1	状态机断言	AG1-D12
D12	Room→Battle	AppFlow.cs:168-216	状态矩阵.tsv D12	1	状态机断言	AG1-D12
D12	任意→Login(被踢)	AppFlow.cs:715-723	状态矩阵.tsv D12	1	状态机断言	AG1-D12
D12	启动→Boot	AppFlow.cs:246-256	状态矩阵.tsv D12	1	状态机断言	AG1-D12
D12	回主菜单后表现层残留	缺：回菜单后截图(AppFlow.cs:506-510)	状态矩阵.tsv D12	1	状态机断言	AG1-D12
D12	回主菜单幂等	AppFlow.cs:224-228	状态矩阵.tsv D12	1	状态机断言	AG1-D12
D12	暂停态服务端tick是否继续	缺：服务端 tick 运行日志	状态矩阵.tsv D12	1	状态机断言	AG1-D12
D12	注册→返回登录	AppFlow.cs:297	状态矩阵.tsv D12	1	状态机断言	AG1-D12
D12	登录失败→Login站点	AppFlow.cs:700-707/492-498	状态矩阵.tsv D12	1	状态机断言	AG1-D12
D12	连做两次回主菜单→再进图 计数一致	缺：运行时两次往返计数日志	状态矩阵.tsv D12	1	状态机断言	AG1-D12
D12	退出	AppFlow.cs:871-880	状态矩阵.tsv D12	1	状态机断言	AG1-D12
D1资源	2min_loop_battle_01	client/Assets/Resources/Sound/BGM/Battle/2min_loop_battle_01.ogg	参考规格.md §7 S27 / AudioPaths.cs	1	脚本断言	AE1-D1
D1资源	ArenaRoot	Assets/Resources/Sprites/Arenas/arena_training_out	ResPaths.cs	1	脚本断言	AE1-D1
D1资源	Arrow	client/Assets/Resources/Sprites/Effects/Arrow	参考规格.md §6 / ResPaths.cs	20	脚本断言	AE1-D1
D1资源	BarWhite	Sprites/Ui/Bars/ui_battle_end_out/frame_222	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	Blast	client/Assets/Resources/Sprites/Effects/Blast	参考规格.md §6 / ResPaths.cs	10	脚本断言	AE1-D1
D1资源	BootBackground	Assets/Resources/Sprites/Ui/loading_bg	ResPaths.cs	1	脚本断言	AE1-D1
D1资源	BuildingsRoot	Assets/Resources/Sprites/Buildings	ResPaths.cs	1	脚本断言	AE1-D1
D1资源	ButtonBlueCorner	Sprites/Ui/Buttons/ui_out/frame_165	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	ButtonBlueCornerAlt	Sprites/Ui/Buttons/ui_out/frame_166	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	ButtonCapsule	Sprites/Ui/Buttons/ui_out/frame_002	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	ButtonDarkGrey	Sprites/Ui/Buttons/ui_out/frame_014	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	ButtonDarkGreyAlt	Sprites/Ui/Buttons/ui_out/frame_015	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	ButtonGold	Sprites/Ui/Buttons/ui_out/frame_300	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	ButtonGreenCorner	Sprites/Ui/Buttons/ui_out/frame_005	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	ButtonGreenCornerTl	Sprites/Ui/Buttons/ui_out/frame_004	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	ButtonOrange	Sprites/Ui/Buttons/ui_out/frame_357	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	ButtonOrangeAlt	Sprites/Ui/Buttons/ui_out/frame_359	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	ButtonOrangeWide	Sprites/Ui/Buttons/ui_out/frame_551	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	ButtonWhite	Sprites/Ui/Buttons/ui_out/frame_476	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	CardFrameGlowLegendary	Sprites/Ui/Panels/ui_out/frame_532	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	CardsRoot	Assets/Resources/Sprites/Cards	ResPaths.cs	1	脚本断言	AE1-D1
D1资源	ChatBubble	Sprites/Ui/Slots/ui_out/frame_054	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	ElixirBarFill	Sprites/Ui/Bars/ui_out/frame_157	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	ElixirBarFrame	Sprites/Ui/Bars/ui_out/frame_158	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	ElixirBarTick	Sprites/Ui/Bars/ui_out/frame_160	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	ElixirBarTrack	Sprites/Ui/Bars/ui_out/frame_155	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	ElixirBarTrackAlt	Sprites/Ui/Bars/ui_out/frame_156	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	ElixirRequirementEnd	Sprites/Ui/Bars/ui_out/frame_162	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	ElixirRequirementTrack	Sprites/Ui/Bars/ui_out/frame_161	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	GoldSquarePlate	Sprites/Ui/Bars/ui_battle_end_out/frame_201	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	Hit	client/Assets/Resources/Sprites/Effects/Hit	参考规格.md §6 / ResPaths.cs	7	脚本断言	AE1-D1
D1资源	HudClockIcon	Sprites/Ui/Icons/ui_out/frame_042	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	HudHandSlot	Sprites/Ui/Slots/ui_out/frame_200	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	HudHandSlotDraft	Sprites/Ui/Slots/ui_out/frame_201	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	HudPauseButtonPlate	Sprites/Ui/Buttons/ui_out/frame_163	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	HudPauseIconPause	Sprites/Ui/Icons/ui_out/frame_171	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	HudPauseIconPlay	Sprites/Ui/Icons/ui_out/frame_170	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	HudScoreNamePlate	Sprites/Ui/Panels/ui_out/frame_196	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	HudStarEnemy	Sprites/Ui/Icons/ui_out/frame_188	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	HudStarEnemyAlt	Sprites/Ui/Icons/ui_out/frame_198	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	HudStarPlayer	Sprites/Ui/Icons/ui_out/frame_187	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	HudStarPlayerAlt	Sprites/Ui/Icons/ui_out/frame_197	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	HudTopRightPlate	Sprites/Ui/Panels/ui_out/frame_193	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	IconArrowUp	Sprites/Ui/Icons/ui_out/frame_519	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	IconAttackGear	Sprites/Ui/Icons/ui_out/frame_280	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	IconBanner	Sprites/Ui/Icons/ui_battle_end_out/frame_226	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	IconBattle	Sprites/Ui/Icons/ui_out/frame_226	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	IconCastle	Sprites/Ui/Icons/ui_battle_end_out/frame_223	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	IconChat	Sprites/Ui/Icons/ui_out/frame_572	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	IconChestGoldOpen	Sprites/Ui/Icons/ui_out/frame_526	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	IconChestHalfOpen	Sprites/Ui/Icons/ui_out/frame_555	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	IconChestWoodClosed	Sprites/Ui/Icons/ui_out/frame_527	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	IconCoin	Sprites/Ui/Icons/ui_battle_end_out/frame_215	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	IconCoinPile	Sprites/Ui/Icons/ui_battle_end_out/frame_216	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	IconCrownBig	Sprites/Ui/Icons/ui_out/frame_883	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	IconCrownBlack	Sprites/Ui/Icons/ui_out/frame_075	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	IconCrownBlueGem	Sprites/Ui/Icons/ui_out/frame_187	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	IconCrownFivePoint	Sprites/Ui/Icons/ui_out/frame_878	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	IconCrownGold	Sprites/Ui/Icons/ui_out/frame_050	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	IconCrownRedGem	Sprites/Ui/Icons/ui_out/frame_188	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	IconElixirBarLeft	Sprites/Ui/Icons/ui_out/frame_159	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	IconElixirDrop	Sprites/Ui/Icons/ui_out/frame_099	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	IconGamepad	Sprites/Ui/Icons/ui_out/frame_570	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	IconGear	Sprites/Ui/Icons/ui_out/frame_563	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	IconGemBlue	Sprites/Ui/Icons/ui_out/frame_597	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	IconGemGreen	Sprites/Ui/Icons/ui_battle_end_out/frame_214	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	IconMedal	Sprites/Ui/Icons/ui_battle_end_out/frame_213	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	IconPlus	Sprites/Ui/Icons/ui_out/frame_521	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	IconQuestion	Sprites/Ui/Icons/ui_out/frame_292	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	IconQuitCross	Sprites/Ui/Icons/ui_out/frame_164	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	IconSearch	Sprites/Ui/Icons/ui_out/frame_279	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	IconShieldBlue	Sprites/Ui/Icons/ui_battle_end_out/frame_225	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	IconSpellBook	Sprites/Ui/Icons/ui_battle_end_out/frame_205	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	IconTournamentCreate	Sprites/Ui/Icons/ui_out/frame_281	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	IconTrophy	Sprites/Ui/Icons/ui_battle_end_out/frame_109	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	IconTrophyLaurel	Sprites/Ui/Icons/ui_battle_end_out/frame_195	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	PanelCornerBlueGold	Sprites/Ui/Panels/ui_out/frame_505	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	PanelEdgeBlueGold	Sprites/Ui/Panels/ui_out/frame_506	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	PanelFrameDark	Sprites/Ui/Panels/ui_battle_end_out/frame_108	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	PanelFrameGrey	Sprites/Ui/Panels/ui_out/frame_592	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	PanelFrameOutline	Sprites/Ui/Panels/ui_out/frame_802	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	PanelPaper	Sprites/Ui/Panels/ui_out/frame_806	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	PanelPaperCornerBig	Sprites/Ui/Panels/ui_out/frame_812	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	PanelPaperCornerBl	Sprites/Ui/Panels/ui_out/frame_811	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	PanelPaperCornerTl	Sprites/Ui/Panels/ui_out/frame_808	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	PanelPaperCornerTr	Sprites/Ui/Panels/ui_out/frame_807	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	SlotCard	Sprites/Ui/Slots/ui_out/frame_043	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	SlotCardPlain	Sprites/Ui/Slots/ui_out/frame_531	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	SlotCorner	Sprites/Ui/Slots/ui_out/frame_011	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	SpellArtRoot	Assets/Resources/Sprites/Cards/ui_spells_out	ResPaths.cs	1	脚本断言	AE1-D1
D1资源	SpritesRoot	Assets/Resources/Sprites	ResPaths.cs	1	脚本断言	AE1-D1
D1资源	TitleBarGold	Sprites/Ui/Bars/ui_out/frame_069	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	TitleBarWood	Sprites/Ui/Bars/ui_out/frame_070	ResPaths.cs:UiFrame	2	脚本断言	AE1-D1
D1资源	TowersRoot	Assets/Resources/Sprites/Towers/building_tower_out	ResPaths.cs	1	脚本断言	AE1-D1
D1资源	UiRoot	Assets/Resources/Sprites/Ui	ResPaths.cs	1	脚本断言	AE1-D1
D1资源	UnitsRoot	Assets/Resources/Sprites/Units	ResPaths.cs	1	脚本断言	AE1-D1
D1资源	arena_training_out	client/Assets/Resources/Sprites/Arenas/arena_training_out	参考规格.md §6 / ResPaths.cs	23	脚本断言	AE1-D1
D1资源	arena_training_out	cr-assets-png/assets/sc/arena_training_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	bad_drop_03	client/Assets/Resources/Sound/SFX/BadDrop/bad_drop_03.ogg	参考规格.md §7 S27 / AudioPaths.cs	1	脚本断言	AE1-D1
D1资源	boulder_impact_01	client/Assets/Resources/Sound/SFX/Hit/boulder_impact_01.ogg	参考规格.md §7 S27 / AudioPaths.cs	1	脚本断言	AE1-D1
D1资源	building_barbarian_hut_out	client/Assets/Resources/Sprites/Buildings/building_barbarian_hut_out	参考规格.md §6 / ResPaths.cs	2	脚本断言	AE1-D1
D1资源	building_barbarian_hut_out	client/Assets/Resources/Sprites/Buildings/building_barbarian_hut_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	building_barbarian_hut_out	cr-assets-png/assets/sc/building_barbarian_hut_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	building_basic_cannon_out	client/Assets/Resources/Sprites/Buildings/building_basic_cannon_out	参考规格.md §6 / ResPaths.cs	39	脚本断言	AE1-D1
D1资源	building_basic_cannon_out	client/Assets/Resources/Sprites/Buildings/building_basic_cannon_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	building_basic_cannon_out	cr-assets-png/assets/sc/building_basic_cannon_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	building_bomb_tower_out	client/Assets/Resources/Sprites/Buildings/building_bomb_tower_out	参考规格.md §6 / ResPaths.cs	3	脚本断言	AE1-D1
D1资源	building_bomb_tower_out	client/Assets/Resources/Sprites/Buildings/building_bomb_tower_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	building_bomb_tower_out	cr-assets-png/assets/sc/building_bomb_tower_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	building_elixir_collector_out	client/Assets/Resources/Sprites/Buildings/building_elixir_collector_out	参考规格.md §6 / ResPaths.cs	5	脚本断言	AE1-D1
D1资源	building_elixir_collector_out	client/Assets/Resources/Sprites/Buildings/building_elixir_collector_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	building_elixir_collector_out	cr-assets-png/assets/sc/building_elixir_collector_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	building_explode_01	client/Assets/Resources/Sound/SFX/TowerDown/building_explode_01.ogg	参考规格.md §7 S27 / AudioPaths.cs	1	脚本断言	AE1-D1
D1资源	building_firespirit_hut_out	cr-assets-png/assets/sc/building_firespirit_hut_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	building_goblin_hut_out	client/Assets/Resources/Sprites/Buildings/building_goblin_hut_out	参考规格.md §6 / ResPaths.cs	5	脚本断言	AE1-D1
D1资源	building_goblin_hut_out	client/Assets/Resources/Sprites/Buildings/building_goblin_hut_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	building_goblin_hut_out	cr-assets-png/assets/sc/building_goblin_hut_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	building_inferno_tower_out	client/Assets/Resources/Sprites/Buildings/building_inferno_tower_out	参考规格.md §6 / ResPaths.cs	3	脚本断言	AE1-D1
D1资源	building_inferno_tower_out	client/Assets/Resources/Sprites/Buildings/building_inferno_tower_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	building_inferno_tower_out	cr-assets-png/assets/sc/building_inferno_tower_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	building_mega_bomb_out	cr-assets-png/assets/sc/building_mega_bomb_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	building_mortar_out	client/Assets/Resources/Sprites/Buildings/building_mortar_out	参考规格.md §6 / ResPaths.cs	10	脚本断言	AE1-D1
D1资源	building_mortar_out	client/Assets/Resources/Sprites/Buildings/building_mortar_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	building_mortar_out	cr-assets-png/assets/sc/building_mortar_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	building_rage_bottle_out	cr-assets-png/assets/sc/building_rage_bottle_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	building_tesla_out	client/Assets/Resources/Sprites/Buildings/building_tesla_out	参考规格.md §6 / ResPaths.cs	41	脚本断言	AE1-D1
D1资源	building_tesla_out	client/Assets/Resources/Sprites/Buildings/building_tesla_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	building_tesla_out	cr-assets-png/assets/sc/building_tesla_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	building_tombstone_out	client/Assets/Resources/Sprites/Buildings/building_tombstone_out	参考规格.md §6 / ResPaths.cs	18	脚本断言	AE1-D1
D1资源	building_tombstone_out	client/Assets/Resources/Sprites/Buildings/building_tombstone_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	building_tombstone_out	cr-assets-png/assets/sc/building_tombstone_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	building_tower_out	client/Assets/Resources/Sprites/Towers/building_tower_out	参考规格.md §6 / ResPaths.cs	214	脚本断言	AE1-D1
